Iteration,Angle,Angle_Velocity,Angle_Accel,Distance,Velocity,Force,Nc
318,-532.000,48.788,,27.629,3.278,001,
319,-531.025,62.850,,27.694,3.471,001,
320,-529.768,76.554,,27.764,3.664,001,
321,-528.237,89.789,,27.837,3.855,001,
322,-526.441,102.441,,27.914,4.047,001,
323,-524.392,114.396,,27.995,4.237,001,
324,-522.104,125.538,,28.080,4.426,001,
325,-519.593,135.752,,28.168,4.615,001,
326,-516.878,144.931,,28.260,4.801,001,
327,-513.980,152.970,,28.356,4.987,001,
328,-510.920,159.778,,28.456,5.171,001,
329,-507.725,165.275,,28.560,5.353,001,
330,-504.419,169.399,,28.667,5.533,001,
331,-501.031,172.106,,28.777,5.712,001,
332,-497.589,173.368,,28.892,5.890,001,
333,-494.122,173.181,,29.009,6.066,001,
334,-490.658,171.557,,29.131,6.241,001,
335,-487.227,168.526,,29.256,6.415,001,
336,-483.856,164.131,,29.384,6.588,001,
337,-480.574,158.431,,29.516,6.761,001,
338,-477.405,151.492,,29.651,6.934,001,
339,-474.375,143.389,,29.790,7.108,001,
340,-471.508,134.205,,29.932,7.281,001,
341,-468.823,124.022,,30.077,7.456,001,
342,-466.343,112.929,,30.226,7.630,001,
343,-464.084,101.016,,30.379,7.806,001,
344,-462.064,88.371,,30.535,7.983,001,
345,-460.297,75.087,,30.695,8.160,001,
346,-458.795,61.252,,30.858,8.339,001,
347,-457.570,46.959,,31.025,8.518,001,
348,-456.631,32.295,,31.195,8.697,001,
349,-455.985,17.350,,31.369,8.878,001,
350,-455.638,2.215,,31.547,9.058,001,
351,-455.594,-16.096,,31.728,8.875,000,
352,-455.916,-34.396,,31.905,8.692,000,
353,-456.603,-52.778,,32.079,8.508,000,
354,-457.659,-71.333,,32.249,8.324,000,
355,-459.086,-90.149,,32.416,8.138,000,
356,-460.889,-109.313,,32.579,7.952,000,
357,-463.075,-128.907,,32.738,7.764,000,
358,-465.653,-149.007,,32.893,7.574,000,
359,-468.633,-169.684,,33.044,7.382,000,
360,-472.027,-190.994,,33.192,7.187,000,
361,-475.847,-212.983,,33.336,6.989,000,
362,-480.106,-235.672,,33.475,6.788,000,
363,-484.820,-259.058,,33.611,6.584,000,
364,-490.001,-283.092,,33.743,6.376,000,
365,-495.663,-307.672,,33.870,6.165,000,
366,-501.816,-332.618,,33.994,5.950,000,
367,-508.469,-357.647,,34.113,5.734,000,
368,-515.622,-382.357,,34.227,5.517,000,
369,-523.269,-406.199,,34.338,5.301,000,
370,-531.393,-428.490,,34.444,5.089,000,
371,-539.962,-448.437,,34.546,4.884,000,
372,-548.931,-465.222,,34.643,4.689,000,
373,-558.236,-478.111,,34.737,4.506,000,
374,-567.798,-486.585,,34.827,4.338,000,
375,-577.530,-490.433,,34.914,4.184,000,
376,-587.338,-489.770,,34.998,4.043,000,
377,-597.134,-484.977,,35.078,3.913,000,
378,-606.833,-476.588,,35.157,3.789,000,
379,-616.365,-465.173,,35.233,3.669,000,
380,-625.668,-451.254,,35.306,3.548,000,
381,-634.693,-435.266,,35.377,3.423,000,
382,-643.399,-417.559,,35.445,3.293,000,
383,-651.750,-398.417,,35.511,3.154,000,
384,-659.718,-378.091,,35.574,3.007,000,
385,-667.280,-356.823,,35.634,2.852,000,
386,-674.417,-334.866,,35.691,2.687,000,
387,-681.114,-312.485,,35.745,2.515,000,
388,-687.364,-289.951,,35.796,2.336,000,
389,-693.163,-267.533,,35.842,2.152,000,
390,-698.513,-245.473,,35.885,1.964,000,
391,-703.423,-223.983,,35.925,1.772,000,
392,-707.902,-203.227,,35.960,1.578,000,
393,-711.967,-183.322,,35.992,1.384,000,
394,-715.633,-164.336,,36.019,1.188,000,
395,-718.920,-146.299,,36.043,0.993,000,
396,-721.846,-129.203,,36.063,0.797,000,
397,-724.430,-113.012,,36.079,0.603,000,
398,-726.690,-97.670,,36.091,0.408,000,
399,-728.644,-83.107,,36.099,0.215,000,
400,-730.306,-69.242,,36.103,0.022,000,
401,-731.691,-88.908,,36.104,0.219,001,
402,-733.469,-108.892,,36.108,0.416,001,
403,-735.647,-129.262,,36.116,0.612,001,
404,-738.232,-150.064,,36.129,0.809,001,
405,-741.233,-171.324,,36.145,1.005,001,
406,-744.660,-193.041,,36.165,1.200,001,
407,-748.521,-215.180,,36.189,1.393,001,
408,-752.824,-237.675,,36.217,1.585,001,
409,-757.578,-260.420,,36.249,1.773,001,
410,-762.786,-283.275,,36.284,1.958,001,
411,-768.452,-306.070,,36.323,2.138,001,
412,-774.573,-328.611,,36.366,2.312,001,
413,-781.145,-350.687,,36.412,2.480,001,
414,-788.159,-372.084,,36.462,2.640,001,
415,-795.601,-392.589,,36.515,2.792,001,
416,-803.452,-411.989,,36.570,2.936,001,
417,-811.692,-430.064,,36.629,3.073,001,
418,-820.293,-446.571,,36.691,3.203,001,
419,-829.225,-461.219,,36.755,3.329,001,
420,-838.449,-473.645,,36.821,3.452,001,
421,-847.922,-483.399,,36.890,3.575,001,
422,-857.590,-489.949,,36.962,3.703,001,
423,-867.389,-492.720,,37.036,3.838,001,
424,-877.244,-491.184,,37.113,3.985,001,
425,-887.067,-484.979,,37.192,4.145,001,
426,-896.767,-474.031,,37.275,4.321,001,
427,-906.247,-458.635,,37.362,4.512,001,
428,-915.420,-439.433,,37.452,4.715,001,
429,-924.209,-417.311,,37.546,4.928,001,
430,-932.555,-393.236,,37.645,5.147,001,
431,-940.420,-368.114,,37.748,5.368,001,
432,-947.782,-342.700,,37.855,5.590,001,
433,-954.636,-317.559,,37.967,5.809,001,
434,-960.987,-293.087,,38.083,6.025,001,
435,-966.849,-269.532,,38.203,6.237,001,
436,-972.240,-247.038,,38.328,6.444,001,
437,-977.180,-225.672,,38.457,6.647,001,
438,-981.694,-205.449,,38.590,6.846,001,
439,-985.803,-186.353,,38.727,7.042,001,
440,-989.530,-168.343,,38.868,7.234,001,
441,-992.897,-151.364,,39.012,7.424,001,
442,-995.924,-135.355,,39.161,7.612,001,
443,-998.631,-120.247,,39.313,7.797,001,
444,-1001.036,-105.967,,39.469,7.981,001,
445,-1003.155,-92.441,,39.629,8.164,001,
446,-1005.004,-79.594,,39.792,8.346,001,
447,-1006.596,-67.351,,39.959,8.527,001,
448,-1007.943,-55.635,,40.129,8.707,001,
449,-1009.056,-44.372,,40.304,8.887,001,
450,-1009.943,-33.487,,40.481,9.067,001,
451,-1010.613,-12.162,,40.663,8.879,000,
452,-1010.856,9.286,,40.840,8.692,000,
453,-1010.670,30.776,,41.014,8.504,000,
454,-1010.055,52.227,,41.184,8.316,000,
455,-1009.010,73.559,,41.351,8.129,000,
456,-1007.539,94.689,,41.513,7.943,000,
457,-1005.645,115.527,,41.672,7.759,000,
458,-1003.335,135.981,,41.827,7.576,000,
459,-1000.615,155.949,,41.979,7.396,000,
460,-997.496,175.325,,42.127,7.218,000,
461,-993.990,193.991,,42.271,7.043,000,
462,-990.110,211.826,,42.412,6.870,000,
463,-985.873,228.699,,42.549,6.701,000,
464,-981.299,244.471,,42.683,6.534,000,
465,-976.410,258.994,,42.814,6.371,000,
466,-971.230,272.109,,42.941,6.209,000,
467,-965.788,283.649,,43.065,6.050,000,
468,-960.115,293.432,,43.186,5.891,000,
469,-954.246,301.269,,43.304,5.733,000,
470,-948.221,306.966,,43.419,5.575,000,
471,-942.082,310.332,,43.530,5.414,000,
472,-935.875,311.197,,43.639,5.251,000,
473,-929.651,309.421,,43.744,5.083,000,
474,-923.463,304.923,,43.845,4.912,000,
475,-917.364,297.689,,43.944,4.735,000,
476,-911.410,287.788,,44.038,4.553,000,
477,-905.655,275.372,,44.129,4.366,000,
478,-900.147,260.665,,44.217,4.174,000,
479,-894.934,243.947,,44.300,3.979,000,
480,-890.055,225.523,,44.380,3.782,000,
481,-885.544,205.706,,44.455,3.582,000,
482,-881.430,184.789,,44.527,3.381,000,
483,-877.735,163.034,,44.595,3.180,000,
484,-874.474,140.662,,44.658,2.979,000,
485,-871.661,117.853,,44.718,2.778,000,
486,-869.304,94.745,,44.773,2.578,000,
487,-867.409,71.440,,44.825,2.379,000,
488,-865.980,48.012,,44.873,2.181,000,
489,-865.020,24.510,,44.916,1.984,000,
490,-864.529,0.965,,44.956,1.786,000,
491,-864.510,-22.602,,44.992,1.589,000,
492,-864.962,-46.176,,45.023,1.392,000,
493,-865.886,-69.742,,45.051,1.195,000,
494,-867.281,-93.280,,45.075,0.997,000,
495,-869.146,-116.759,,45.095,0.798,000,
496,-871.481,-140.130,,45.111,0.598,000,
497,-874.284,-163.320,,45.123,0.398,000,
498,-877.550,-186.223,,45.131,0.196,000,
499,-881.275,-208.698,,45.135,-0.006,000,
500,-885.449,-230.556,,45.135,-0.208,000,
